Date,Close,High,Low,Open,Volume,Ticker
2022-05-06,154.9995574951172,157.1282427342657,151.9444991405495,153.74796732614354,116124600,AAPL
2022-05-09,149.855224609375,153.5705662251753,149.29349706523496,152.68360662844097,131577900,AAPL
2022-05-10,152.2696990966797,154.46737635991622,150.71260627459526,153.26506437118704,115366700,AAPL
2022-05-11,144.3758087158203,153.19603429538748,143.69581103326797,151.27431152135438,142689800,AAPL
2022-05-12,140.49298095703125,144.08020299470903,136.78750364436277,140.6999427258126,182602000,AAPL
2022-05-13,144.97703552246094,145.9526868103026,141.0350319898402,142.49356908639584,113990900,AAPL
2022-05-16,143.42977905273438,145.3810814533927,142.08949737035988,143.43964368471316,86643800,AAPL
2022-05-17,147.0761260986328,147.5984402531948,144.5532317399834,146.7016310302499,78336300,AAPL
2022-05-18,138.77821350097656,145.2233813560545,137.87153963890293,144.72078142086878,109742900,AAPL
2022-05-19,135.3585205078125,139.6060259100609,134.61939501913687,137.8518359532745,136095600,AAPL
2022-05-20,135.5950164794922,138.65992377824847,130.68722797221466,137.07326729810367,137426100,AAPL
2022-05-23,141.03500366210938,141.18282274987226,135.65416330433425,135.79213279876197,117726300,AAPL
2022-05-24,138.32485961914062,139.9115161270146,135.33879411636306,138.76833186496543,104132700,AAPL
2022-05-25,138.48257446289062,139.73414963230113,136.33417493293138,136.42286639453397,92482700,AAPL
2022-05-26,141.69529724121094,142.24717525757603,135.1515728345783,135.3979480231376,90601500,AAPL
2022-05-27,147.47030639648438,147.50971980321964,143.15380903801713,143.28192892561134,90978500,AAPL
2022-05-31,146.6819305419922,148.47554915584195,144.71092900811684,146.90860654542266,103718400,AAPL
2022-06-01,146.55381774902344,149.53988370849348,145.53873817938137,147.72655096677192,74286600,AAPL
2022-06-02,149.01756286621094,149.07669050037924,144.73062893844732,145.68656579095972,72348100,AAPL
2022-06-03,143.2720947265625,145.82453789756687,142.3654358987846,144.770044944171,88570300,AAPL
2022-06-06,144.0210418701172,146.41581589469035,142.79901584167854,144.89813670997123,71598400,AAPL
2022-06-07,146.55381774902344,146.83960633947197,142.0106588574211,142.25703403584302,67808200,AAPL
2022-06-08,145.81471252441406,147.69700772120802,145.32196209893456,146.42571823999276,53950200,AAPL
2022-06-09,140.57179260253906,145.80479792166835,140.46338694458436,144.9474172871913,69473000,AAPL
2022-06-10,135.14170837402344,138.71906549283727,135.07271611079338,138.2460293933542,91437900,AAPL
2022-06-13,129.9678192138672,133.23967326736573,129.5341965596281,130.94345514835987,122207100,AAPL
2022-06-14,130.83505249023438,131.9486729653345,129.57361294213226,131.19969793288186,84784300,AAPL
2022-06-15,133.4663543701172,135.34866434133303,130.24377786500034,132.3428841585756,91533000,AAPL
2022-06-16,128.17422485351562,130.4704434004071,127.16900988024103,130.16494057459525,108123900,AAPL
2022-06-17,129.65245056152344,131.15041561507837,127.92782459091552,128.18406435914898,134520300,AAPL
2022-06-21,133.89999389648438,135.07274229839362,131.38697879244958,131.48551985360913,81000500,AAPL
2022-06-22,133.38755798339844,135.76260381561917,131.96843422656306,132.83566482653396,73409200,AAPL
2022-06-23,136.2651824951172,136.58053489148253,133.66346131552876,134.83620952437622,72433800,AAPL
2022-06-24,139.6060333251953,139.85240850117333,137.7434375963034,137.87154246227976,89116800,AAPL
2022-06-27,139.6060333251953,141.4095014178601,138.9260354334884,140.63094744074303,70207900,AAPL
2022-06-28,135.4472198486328,141.34050987783797,135.32896457557,140.06922057977073,67083400,AAPL
2022-06-29,137.2112579345703,138.63038134531047,134.6883785543866,135.46693252662052,66242400,AAPL
2022-06-30,134.7376251220703,136.36369487845758,131.83040175040082,135.25993916685138,98964500,AAPL
2022-07-01,136.91558837890625,137.02399404422195,133.69301230892643,134.0674923038435,71051600,AAPL
2022-07-05,139.5074462890625,139.5567243208349,134.9445742302402,135.77240606640194,73353800,AAPL
2022-07-06,140.84774780273438,142.03034554759492,139.03443025811185,139.30051963790794,74064300,AAPL
2022-07-07,144.22804260253906,144.42513974752345,141.20254804373226,141.2123976378396,66253700,AAPL
2022-07-08,144.9080352783203,145.41065032513728,142.89762020370028,143.1538450057202,64547800,AAPL
2022-07-11,142.7694854736328,144.51382597051048,141.69529329047643,143.55788906254995,63141600,AAPL
2022-07-12,143.7451171875,146.29756011597522,142.94686411267188,143.64656111311933,77588800,AAPL
2022-07-13,143.38047790527344,144.32654999556934,140.05933088479338,140.91672657370842,71185600,AAPL
2022-07-14,146.3173065185547,146.7903426970183,141.1729910854223,141.9909585625348,78140700,AAPL
2022-07-15,147.9926300048828,148.67262785570932,146.05119253188846,147.6082853549652,76259900,AAPL
2022-07-18,144.93759155273438,149.37234459214557,144.5729460772953,148.55437722703743,81420900,AAPL
2022-07-19,148.8105926513672,149.03725358197892,144.7798987508147,145.77524895701922,82982400,AAPL
2022-07-20,150.82102966308594,151.4911779992742,148.18974443892895,148.92887000877803,64823400,AAPL
2022-07-21,153.09750366210938,153.31431496799257,149.73694345846363,152.25982224960214,65086600,AAPL
2022-07-22,151.85577392578125,154.01402250481192,151.18564077957626,153.13692762960554,66675400,AAPL
2022-07-25,150.7323455810547,152.79203866083077,150.07206184417882,151.77697403156125,53623900,AAPL
2022-07-26,149.40191650390625,150.87030296581528,148.61351291334188,150.05233555639018,55138700,AAPL
2022-07-27,154.5166778564453,155.04885675783189,149.95381896335044,150.36772753245657,78620700,AAPL
2022-07-28,155.0685272216797,155.35431578247076,152.17115301810267,154.70388176992367,81378700,AAPL
